ref_year,provider_code,code_year,provider_name,citizenship,attrition_rate
2011,1019,1019-2012,James Cook University,International,15.79
2011,1034,1034-2012,Murdoch University,International,8.36
2011,1055,1055-2012,The University of Western Australia,International,4.96
2011,1058,1058-2012,University of Wollongong,International,5.76
2011,2148,2148-2012,The National Institute of Dramatic Art,International,0
2011,2154,2154-2012,Federation University Australia,International,19.65
2011,2177,2177-2012,Swinburne University of Technology,International,12.3
2011,2200,2200-2012,CQUniversity,International,14.62
2011,2201,2201-2012,University of Southern Queensland,International,14.24
2011,2235,2235-2012,Edith Cowan University,International,10.2
2011,2236,2236-2012,Curtin University,International,7.79
2011,2241,2241-2012,University of Canberra,International,8.36
2011,2252,2252-2012,Avondale College of Higher Education,International,31.82
2011,3001,3001-2012,Charles Darwin University,International,12.03
2011,3003,3003-2012,Bond University,International,9.88
2011,3004,3004-2012,Western Sydney University,International,14.5
2011,3005,3005-2012,Charles Sturt University,International,22.65
2011,3006,3006-2012,Australian Catholic University,International,15.7
2011,3007,3007-2012,Victoria University,International,14.27
2011,3010,3010-2012,The University of Adelaide,International,4.1
2011,3013,3013-2012,University of New South Wales,International,6.08
2011,3014,3014-2012,The University of Newcastle,International,7.01
2011,3016,3016-2012,University of Technology Sydney,International,7.48
2011,3019,3019-2012,The University of Queensland,International,4.38
2011,3020,3020-2012,La Trobe University,International,10.71
2011,3025,3025-2012,Macquarie University,International,6.34
2011,3027,3027-2012,University of South Australia,International,6.03
2011,3029,3029-2012,Flinders University,International,5.72
2011,3030,3030-2012,Deakin University,International,7.82
2011,3032,3032-2012,Griffith University,International,7.44
2011,3033,3033-2012,The Australian National University,International,3.28
2011,3034,3034-2012,RMIT University,International,9.76
2011,3035,3035-2012,Monash University,International,5.63
2011,3036,3036-2012,The University of Melbourne,International,3.76
2011,3038,3038-2012,Southern Cross University,International,15.4
2011,3039,3039-2012,The University of New England,International,10.31
2011,3040,3040-2012,The University of Sydney,International,5.27
2011,3042,3042-2012,Queensland University of Technology,International,7.53
2011,3043,3043-2012,University of the Sunshine Coast,International,12.5
2011,3044,3044-2012,The University of Notre Dame Australia,International,14.67
2011,4331,4331-2012,University of Divinity,International,12.12
2011,4332,4332-2012,Sydney College of Divinity,International,30.65
2011,4333,4333-2012,Christian Heritage College,International,42.86
2011,4335,4335-2012,Australian College of Theology,International,20.45
2011,4336,4336-2012,Australian College of Applied Psychology,International,22.22
2011,4337,4337-2012,Eastern College Australia,International,66.67
2011,4338,4338-2012,Moore Theological College,International,40
2011,4339,4339-2012,Holmes Institute,International,29.51
2011,4340,4340-2012,Monash College,International,17.18
2011,4341,4341-2012,Harvest Bible College,International,0
2011,4342,4342-2012,Australian Lutheran College,International,50
2011,4343,4343-2012,Australian Institute of Music,International,40
2011,4344,4344-2012,South Aust Institute of Business & Technology,International,24.36
2011,4346,4346-2012,Excelsia College,International,10
2011,4348,4348-2012,Deakin College,International,17.73
2011,4349,4349-2012,Sydney Institute of Business and Technology,International,9.17
2011,4350,4350-2012,Queensland Institute of Business and Technology,International,19.94
2011,4352,4352-2012,The Australian College of Physical Education,International,16.67
2011,4357,4357-2012,Blue Mountains Intl Hotel Management School,International,10.47
2011,4359,4359-2012,The College of Law,International,14.04
2011,4360,4360-2012,Perth Bible College,International,25
2011,4361,4361-2012,Endeavour College of Natural Health,International,30.77
2011,4362,4362-2012,International College of Hotel Management,International,4.65
2011,4363,4363-2012,Northern Melbourne Institute of TAFE,International,37.3
2011,4364,4364-2012,Edith Cowan College,International,13.99
2011,4365,4365-2012,Curtin College,International,26.43
2011,4366,4366-2012,Box Hill Institute,International,32.65
2011,4367,4367-2012,Melbourne Institute of Technology,International,23.13
2011,4368,4368-2012,Campion College,International,50
2011,4371,4371-2012,SAE Creative Media Institute,International,20.22
2011,4374,4374-2012,Carnegie Mellon University Australia,International,5
2011,4375,4375-2012,Think: Colleges Pty Ltd,International,19.76
2011,4377,4377-2012,UOW College,International,10.43
2011,4378,4378-2012,JMC Academy,International,0
2011,4380,4380-2012,UTS:INSEARCH,International,16.35
2011,4381,4381-2012,"International College of Management, Sydney",International,16.22
2011,4383,4383-2012,Holmesglen Institute of TAFE,International,37.07
2011,4384,4384-2012,Kaplan Business School,International,27.88
2011,4385,4385-2012,Polytechnic West,International,26.61
2011,4386,4386-2012,Macleay College,International,0
2011,4387,4387-2012,Raffles College of Design and Commerce,International,13.25
2011,4388,4388-2012,Australian Academy of Music and Performing Arts,International,37.5
2011,4389,4389-2012,Cairnmillar Institute School,International,100
2011,4391,4391-2012,Eynesbury,International,16.06
2011,4394,4394-2012,William Angliss Institute of TAFE,International,28.26
2011,4396,4396-2012,LCI Melbourne,International,50
2011,4401,4401-2012,Whitehouse Institute of Design; Australia,International,0
2011,4402,4402-2012,Leo Cussen Institute,International,0
2011,4403,4403-2012,Harvest West Bible College Inc,International,100
2011,4406,4406-2012,Canberra Institute of Technology,International,100
2011,4407,4407-2012,Alphacrucis College,International,25
2011,4409,4409-2012,Universal Business School Sydney (UBSS),International,13.64
2011,4411,4411-2012,Stotts Colleges,International,43.28
2011,4412,4412-2012,Morling College,International,0
2011,4413,4413-2012,University College London,International,0
2011,7075,7075-2012,TAFE NSW,International,0
2011,7116,7116-2012,Study Group Australia Pty Ltd,International,34.62
2012,1019,1019-2013,James Cook University,International,15.01
2012,1034,1034-2013,Murdoch University,International,11.69
2012,1055,1055-2013,The University of Western Australia,International,6.02
2012,1058,1058-2013,University of Wollongong,International,7.26
2012,2148,2148-2013,The National Institute of Dramatic Art,International,33.33
2012,2154,2154-2013,Federation University Australia,International,23.45
2012,2177,2177-2013,Swinburne University of Technology,International,16.62
2012,2200,2200-2013,CQUniversity,International,16.59
2012,2201,2201-2013,University of Southern Queensland,International,15.18
2012,2235,2235-2013,Edith Cowan University,International,8.41
2012,2236,2236-2013,Curtin University,International,8.1
2012,2241,2241-2013,University of Canberra,International,7.71
2012,2252,2252-2013,Avondale College of Higher Education,International,16.67
2012,3001,3001-2013,Charles Darwin University,International,9.88
2012,3003,3003-2013,Bond University,International,9.04
2012,3004,3004-2013,Western Sydney University,International,16.62
2012,3005,3005-2013,Charles Sturt University,International,18.06
2012,3006,3006-2013,Australian Catholic University,International,13.36
2012,3007,3007-2013,Victoria University,International,12.24
2012,3010,3010-2013,The University of Adelaide,International,3.82
2012,3013,3013-2013,University of New South Wales,International,4.7
2012,3014,3014-2013,The University of Newcastle,International,8.15
2012,3016,3016-2013,University of Technology Sydney,International,7.25
2012,3019,3019-2013,The University of Queensland,International,4.39
2012,3020,3020-2013,La Trobe University,International,7.97
2012,3025,3025-2013,Macquarie University,International,6.08
2012,3027,3027-2013,University of South Australia,International,8.13
2012,3029,3029-2013,Flinders University,International,7.93
2012,3030,3030-2013,Deakin University,International,9.02
2012,3032,3032-2013,Griffith University,International,8.08
2012,3033,3033-2013,The Australian National University,International,3.51
2012,3034,3034-2013,RMIT University,International,9.16
2012,3035,3035-2013,Monash University,International,5.26
2012,3036,3036-2013,The University of Melbourne,International,3.19
2012,3038,3038-2013,Southern Cross University,International,11.15
2012,3039,3039-2013,The University of New England,International,11.42
2012,3040,3040-2013,The University of Sydney,International,4.78
2012,3042,3042-2013,Queensland University of Technology,International,7.84
2012,3043,3043-2013,University of the Sunshine Coast,International,10.87
2012,3044,3044-2013,The University of Notre Dame Australia,International,17.54
2012,4331,4331-2013,University of Divinity,International,5
2012,4332,4332-2013,Sydney College of Divinity,International,20
2012,4333,4333-2013,Christian Heritage College,International,60
2012,4335,4335-2013,Australian College of Theology,International,27.27
2012,4336,4336-2013,Australian College of Applied Psychology,International,25
2012,4337,4337-2013,Eastern College Australia,International,0
2012,4338,4338-2013,Moore Theological College,International,50
2012,4339,4339-2013,Holmes Institute,International,33.94
2012,4340,4340-2013,Monash College,International,12.75
2012,4343,4343-2013,Australian Institute of Music,International,17.65
2012,4344,4344-2013,South Aust Institute of Business & Technology,International,21.9
2012,4346,4346-2013,Excelsia College,International,25
2012,4348,4348-2013,Deakin College,International,16.75
2012,4349,4349-2013,Sydney Institute of Business and Technology,International,10.1
2012,4350,4350-2013,Queensland Institute of Business and Technology,International,18.08
2012,4351,4351-2013,Navitas College of Public Safety Pty Ltd,International,50
2012,4352,4352-2013,The Australian College of Physical Education,International,16.67
2012,4357,4357-2013,Blue Mountains Intl Hotel Management School,International,9.7
2012,4359,4359-2013,The College of Law,International,11.54
2012,4360,4360-2013,Perth Bible College,International,44.44
2012,4361,4361-2013,Endeavour College of Natural Health,International,0
2012,4362,4362-2013,International College of Hotel Management,International,22.22
2012,4363,4363-2013,Northern Melbourne Institute of TAFE,International,27.68
2012,4364,4364-2013,Edith Cowan College,International,16.79
2012,4365,4365-2013,Curtin College,International,30.89
2012,4366,4366-2013,Box Hill Institute,International,35.71
2012,4367,4367-2013,Melbourne Institute of Technology,International,23.08
2012,4368,4368-2013,Campion College,International,100
2012,4371,4371-2013,SAE Creative Media Institute,International,20.27
2012,4374,4374-2013,Carnegie Mellon University Australia,International,6.67
2012,4375,4375-2013,Think: Colleges Pty Ltd,International,20.16
2012,4377,4377-2013,UOW College,International,10.53
2012,4380,4380-2013,UTS:INSEARCH,International,13.13
2012,4381,4381-2013,"International College of Management, Sydney",International,19.51
2012,4383,4383-2013,Holmesglen Institute of TAFE,International,31.02
2012,4384,4384-2013,Kaplan Business School,International,34.97
2012,4385,4385-2013,Polytechnic West,International,27.27
2012,4386,4386-2013,Macleay College,International,100
2012,4387,4387-2013,Raffles College of Design and Commerce,International,7.03
2012,4388,4388-2013,Australian Academy of Music and Performing Arts,International,40
2012,4391,4391-2013,Eynesbury,International,18.96
2012,4394,4394-2013,William Angliss Institute of TAFE,International,18.77
2012,4396,4396-2013,LCI Melbourne,International,80
2012,4401,4401-2013,Whitehouse Institute of Design; Australia,International,40
2012,4402,4402-2013,Leo Cussen Institute,International,0
2012,4406,4406-2013,Canberra Institute of Technology,International,100
2012,4408,4408-2013,TAFE Queensland t/a TAFE Queensland - Brisbane,International,21.05
2012,4409,4409-2013,Universal Business School Sydney (UBSS),International,25.8
2012,4411,4411-2013,Stotts Colleges,International,41.18
2012,4412,4412-2013,Morling College,International,50
2012,4413,4413-2013,University College London,International,0
2012,4415,4415-2013,Top Education Institute,International,28.38
2012,4417,4417-2013,La Trobe Melbourne,International,18.29
2012,7014,7014-2013,Jazz Music Institute,International,0
2012,7075,7075-2013,TAFE NSW,International,18.42
2012,7116,7116-2013,Study Group Australia Pty Ltd,International,4.71
2013,1019,1019-2014,James Cook University,International,22.39
2013,1034,1034-2014,Murdoch University,International,12.61
2013,1055,1055-2014,The University of Western Australia,International,5.81
2013,1058,1058-2014,University of Wollongong,International,11.82
2013,2154,2154-2014,Federation University Australia,International,23.37
2013,2177,2177-2014,Swinburne University of Technology,International,10.68
2013,2200,2200-2014,CQUniversity,International,11.95
2013,2201,2201-2014,University of Southern Queensland,International,11.11
2013,2235,2235-2014,Edith Cowan University,International,11.64
2013,2236,2236-2014,Curtin University,International,8.9
2013,2241,2241-2014,University of Canberra,International,9.27
2013,2252,2252-2014,Avondale College of Higher Education,International,26.92
2013,3001,3001-2014,Charles Darwin University,International,17.68
2013,3003,3003-2014,Bond University,International,7.1
2013,3004,3004-2014,Western Sydney University,International,17.52
2013,3005,3005-2014,Charles Sturt University,International,12.03
2013,3006,3006-2014,Australian Catholic University,International,16.8
2013,3007,3007-2014,Victoria University,International,16.97
2013,3010,3010-2014,The University of Adelaide,International,4.42
2013,3013,3013-2014,University of New South Wales,International,5.72
2013,3014,3014-2014,The University of Newcastle,International,7.62
2013,3016,3016-2014,University of Technology Sydney,International,8.77
2013,3019,3019-2014,The University of Queensland,International,4.17
2013,3020,3020-2014,La Trobe University,International,12.33
2013,3025,3025-2014,Macquarie University,International,6.54
2013,3027,3027-2014,University of South Australia,International,5.48
2013,3029,3029-2014,Flinders University,International,7.14
2013,3030,3030-2014,Deakin University,International,8.55
2013,3032,3032-2014,Griffith University,International,7.41
2013,3033,3033-2014,The Australian National University,International,2.98
2013,3034,3034-2014,RMIT University,International,8.47
2013,3035,3035-2014,Monash University,International,4.77
2013,3036,3036-2014,The University of Melbourne,International,3.23
2013,3038,3038-2014,Southern Cross University,International,19.59
2013,3039,3039-2014,The University of New England,International,5.88
2013,3040,3040-2014,The University of Sydney,International,4.51
2013,3042,3042-2014,Queensland University of Technology,International,9.98
2013,3043,3043-2014,University of the Sunshine Coast,International,15.35
2013,3044,3044-2014,The University of Notre Dame Australia,International,8.51
2013,4331,4331-2014,University of Divinity,International,8.89
2013,4332,4332-2014,Sydney College of Divinity,International,22.5
2013,4333,4333-2014,Christian Heritage College,International,0
2013,4335,4335-2014,Australian College of Theology,International,25
2013,4336,4336-2014,Australian College of Applied Psychology,International,28.57
2013,4337,4337-2014,Eastern College Australia,International,21.05
2013,4338,4338-2014,Moore Theological College,International,33.33
2013,4339,4339-2014,Holmes Institute,International,31.97
2013,4340,4340-2014,Monash College,International,12.13
2013,4343,4343-2014,Australian Institute of Music,International,26.32
2013,4344,4344-2014,South Aust Institute of Business & Technology,International,22.27
2013,4346,4346-2014,Excelsia College,International,0
2013,4348,4348-2014,Deakin College,International,17.43
2013,4349,4349-2014,Sydney Institute of Business and Technology,International,12.13
2013,4350,4350-2014,Queensland Institute of Business and Technology,International,19.96
2013,4352,4352-2014,The Australian College of Physical Education,International,33.33
2013,4357,4357-2014,Blue Mountains Intl Hotel Management School,International,10.79
2013,4359,4359-2014,The College of Law,International,8.89
2013,4360,4360-2014,Perth Bible College,International,0
2013,4361,4361-2014,Endeavour College of Natural Health,International,28.57
2013,4362,4362-2014,International College of Hotel Management,International,6.98
2013,4363,4363-2014,Northern Melbourne Institute of TAFE,International,32.98
2013,4364,4364-2014,Edith Cowan College,International,18.25
2013,4365,4365-2014,Curtin College,International,19.39
2013,4366,4366-2014,Box Hill Institute,International,50
2013,4367,4367-2014,Melbourne Institute of Technology,International,22.45
2013,4368,4368-2014,Campion College,International,66.67
2013,4371,4371-2014,SAE Creative Media Institute,International,15.52
2013,4374,4374-2014,Carnegie Mellon University Australia,International,0.98
2013,4375,4375-2014,Think: Colleges Pty Ltd,International,17.07
2013,4377,4377-2014,UOW College,International,37.97
2013,4380,4380-2014,UTS:INSEARCH,International,17.27
2013,4381,4381-2014,"International College of Management, Sydney",International,13.07
2013,4383,4383-2014,Holmesglen Institute of TAFE,International,39.58
2013,4384,4384-2014,Kaplan Business School,International,29.84
2013,4385,4385-2014,Polytechnic West,International,28.21
2013,4386,4386-2014,Macleay College,International,0
2013,4387,4387-2014,Raffles College of Design and Commerce,International,20.36
2013,4388,4388-2014,Australian Academy of Music and Performing Arts,International,0
2013,4389,4389-2014,Cairnmillar Institute School,International,0
2013,4391,4391-2014,Eynesbury,International,19.29
2013,4394,4394-2014,William Angliss Institute of TAFE,International,12.78
2013,4396,4396-2014,LCI Melbourne,International,0
2013,4401,4401-2014,Whitehouse Institute of Design; Australia,International,66.67
2013,4402,4402-2014,Leo Cussen Institute,International,50
2013,4403,4403-2014,Harvest West Bible College Inc,International,0
2013,4406,4406-2014,Canberra Institute of Technology,International,0
2013,4407,4407-2014,Alphacrucis College,International,0
2013,4408,4408-2014,TAFE Queensland t/a TAFE Queensland - Brisbane,International,100
2013,4409,4409-2014,Universal Business School Sydney (UBSS),International,34.48
2013,4411,4411-2014,Stotts Colleges,International,40.91
2013,4412,4412-2014,Morling College,International,25
2013,4413,4413-2014,University College London,International,0
2013,4414,4414-2014,Chifley Business School,International,0
2013,4415,4415-2014,Top Education Institute,International,33.61
2013,4417,4417-2014,La Trobe Melbourne,International,35.15
2013,4418,4418-2014,Australian School of Management,International,7.14
2013,4420,4420-2014,Kent Institute Australia,International,29.49
2013,4421,4421-2014,Le Cordon Bleu Australia,International,8.72
2013,4423,4423-2014,Tabor College Perth,International,33.33
2013,4424,4424-2014,Kaplan Higher Education,International,40
2013,4425,4425-2014,Australian Institute of Business,International,5.56
2013,4426,4426-2014,John Paul ll Institute for Marriage and Family,International,0
2013,4428,4428-2014,Nan Tien Institute,International,0
2013,4450,4450-2014,TAFE Queensland,International,2.22
2013,7075,7075-2014,TAFE NSW,International,18.18
2013,7116,7116-2014,Study Group Australia Pty Ltd,International,28
2013,7338,7338-2014,TAFE SA,International,55.56
2014,1019,1019-2015,James Cook University,International,23.28
2014,1034,1034-2015,Murdoch University,International,14.12
2014,1055,1055-2015,The University of Western Australia,International,5.96
2014,1058,1058-2015,University of Wollongong,International,10.22
2014,2148,2148-2015,The National Institute of Dramatic Art,International,0
2014,2154,2154-2015,Federation University Australia,International,20.95
2014,2177,2177-2015,Swinburne University of Technology,International,14.15
2014,2200,2200-2015,CQUniversity,International,12.85
2014,2201,2201-2015,University of Southern Queensland,International,11.4
2014,2235,2235-2015,Edith Cowan University,International,12.73
2014,2236,2236-2015,Curtin University,International,11.38
2014,2241,2241-2015,University of Canberra,International,13.52
2014,2252,2252-2015,Avondale College of Higher Education,International,0
2014,3001,3001-2015,Charles Darwin University,International,22.75
2014,3003,3003-2015,Bond University,International,6.07
2014,3004,3004-2015,Western Sydney University,International,17.19
2014,3005,3005-2015,Charles Sturt University,International,10.17
2014,3006,3006-2015,Australian Catholic University,International,11.81
